ID,English_Verb,Greek_Verb,Translation,Verb_Group,Present_Ego,Present_Esy,Present_HeSheIt,Present_We,Present_YouPl,Present_They,Aorist_Ego,Aorist_Esy,Aorist_HeSheIt,Aorist_We,Aorist_YouPl,Aorist_They,Future_Ego,Future_Esy,Future_HeSheIt,Future_We,Future_YouPl,Future_They,Present_Imperative_Esy,Present_Imperative_YouPl,Aorist_Imperative_Esy,Aorist_Imperative_YouPl
11,Forget,Ξεχνάω,To forget,B,Ξεχνάω/Ξεχνώ ,Ξεχνάς ,Ξεχνά ,Ξεχνάμε/Ξεχνούμε ,Ξεχνάτε ,Ξεχνούν/Ξεχνάνε ,Ξέχασα ,Ξέχασες ,Ξέχασε ,Ξεχάσαμε ,Ξεχάσατε ,Ξέχασαν ,Θα ξεχάσω ,Θα ξεχάσεις ,Θα ξεχάσει ,Θα ξεχάσουμε ,Θα ξεχάσετε ,Θα ξεχάσουν , Ξέχασε , Ξεχάστε , Ξέχνα , Ξεχνάτε 
12,Stop,Σταματάω,To stop,B,Σταματάω ,Σταματάς ,Σταματάει ,Σταματάμε ,Σταματάτε ,Σταματούν ,Σταμάτησα ,Σταμάτησες ,Σταμάτησε ,Σταματήσαμε ,Σταματήσατε ,Σταμάτησαν ,Θα σταματήσω ,Θα σταματήσεις ,Θα σταματήσει ,Θα σταματήσουμε ,Θα σταματήσετε ,Θα σταματήσουν , Σταμάτησε , Σταματήστε , Σταμάτα , Σταματάτε 
13,Help,Βοηθάω,To help,B,Βοηθάω ,Βοηθάς ,Βοηθάει ,Βοηθάμε ,Βοηθάτε ,Βοηθούν ,Βοήθησα ,Βοήθησες ,Βοήθησε ,Βοηθήσαμε ,Βοηθήσατε ,Βοήθησαν ,Θα βοηθήσω ,Θα βοηθήσεις ,Θα βοηθήσει ,Θα βοηθήσουμε ,Θα βοηθήσετε ,Θα βοηθήσουν , Βοήθησε , Βοηθήστε , Βοήθα , Βοηθάτε 
14,Plan,Σχεδιάζω,To plan,A,Σχεδιάζω ,Σχεδιάζεις ,Σχεδιάζει ,Σχεδιάζουμε ,Σχεδιάζετε ,Σχεδιάζουν ,Σχεδίασα ,Σχεδίασες ,Σχεδίασε ,Σχεδιάσαμε ,Σχεδιάσατε ,Σχεδίασαν ,Θα σχεδιάσω ,Θα σχεδιάσεις ,Θα σχεδιάσει ,Θα σχεδιάσουμε ,Θα σχεδιάσετε ,Θα σχεδιάσουν , Σχεδίασε , Σχεδιάστε , Σχεδίαζε , Σχεδιάζετε 
15,Buy,Αγοράζω ,To buy,A,Αγοράζω ,Αγοράζεις ,Αγοράζει ,Αγοράζουμε ,Αγοράζετε ,Αγοράζουν ,Αγόρασα ,Αγόρασες ,Αγόρασε ,Αγοράσαμε ,Αγοράσατε ,Αγόρασαν ,Θα αγοράσω ,Θα αγοράσεις ,Θα αγοράσει ,Θα αγοράσουμε ,Θα αγοράσετε ,Θα αγοράσουν , Αγόρασε , Αγοράστε , Αγόραζε , Αγοράζετε 
16,Sing,Τραγουδάω ,To sing,B,Τραγουδάω ,Τραγουδάς ,Τραγουδάει ,Τραγουδάμε ,Τραγουδάτε ,Τραγουδούν ,Τραγούδησα ,Τραγούδησες ,Τραγούδησε ,Τραγουδήσαμε ,Τραγουδήσατε ,Τραγούδησαν ,Θα τραγουδήσω ,Θα τραγουδήσεις ,Θα τραγουδήσει ,Θα τραγουδήσουμε ,Θα τραγουδήσετε ,Θα τραγουδήσουν , Τραγούδησε , Τραγουδήστε , Τραγούδα , Τραγουδάτε 
17,Listen,Ακούω ,To listen,A,Ακούω ,Ακούς ,Ακούει ,Ακούμε ,Ακούτε ,Ακούν ,Άκουσα ,Άκουσες ,Άκουσε ,Ακούσαμε ,Ακούσατε ,Άκουσαν ,Θα ακούσω ,Θα ακούσεις ,Θα ακούσει ,Θα ακούσουμε ,Θα ακούσετε ,Θα ακούσουν , Άκουσε , Ακούστε , Άκου , Ακούτε 
18,Sell,Πουλάω ,To sell,B,Πουλάω ,Πουλάς ,Πουλάει ,Πουλάμε ,Πουλάτε ,Πουλούν ,Πούλησα ,Πούλησες ,Πούλησε ,Πουλήσαμε ,Πουλήσατε ,Πούλησαν ,Θα πουλήσω ,Θα πουλήσεις ,Θα πουλήσει ,Θα πουλήσουμε ,Θα πουλήσετε ,Θα πουλήσουν , Πούλησε , Πουλήστε , Πούλα , Πουλάτε 
19,Be,Είμαι ,To be,IRR,Είμαι ,Είσαι ,Είναι ,Είμαστε ,Είστε ,Είναι ,Ήμουν ,Ήσουν ,Ήταν ,Ήμασταν / Ήμαστε ,Ήσασταν / Ήσαστε ,Ήταν ,Θα είμαι ,Θα είσαι ,Θα είναι ,Θα είμαστε ,Θα είστε ,Θα είναι ,Να είσαι,Να είστε,,
20,Understand,Καταλαβαίνω,To understand,A,Καταλαβαίνω,Καταλαβαίνεις,Καταλαβαίνει,Καταλαβαίνουμε,Καταλαβαίνετε,Καταλαβαίνουν,Κατάλαβα,Κατάλαβες,Κατάλαβε,Καταλάβαμε,Καταλάβατε,Κατάλαβαν,Θα καταλάβω,Θα καταλάβεις,Θα καταλάβει,Θα καταλάβουμε,Θα καταλάβετε,Θα καταλάβουν, Κατάλαβε , Καταλάβετε , Καταλάβαινε , Καταλαβαίνετε 
